"","SRR24302636","SRR24302631","SRR24302634","SRR24302641","SRR24302632","SRR24302643","SRR24302642","SRR24302639","SRR24302635","SRR24302640","SRR24302633"
"DPH2",14.5158960497602,16.402247605204,16.3945424882328,13.8327083285131,11.7997365458965,15.734907742161,15.5623718325332,13.5961054256875,14.8995098871638,14.2165446642053,12.4064338962119
"C1QTNF9",4.77738351004765,3.46970622417776,2.34207749831896,6.50061702870014,7.16806425685301,3.96470116337916,8.65419701906726,5.9599366249589,1.83620720440399,5.51460273451381,8.20733319287864
"MED11",10.2285005920251,11.923172297629,17.0637074877525,10.582399814163,14.2809895578841,8.17719614946951,12.8294675107225,9.62281434238155,8.44655314025836,9.10668341479345,12.9790385375755
"CCDC71L",9.49351851355622,8.57963720887592,7.10987811989686,8.31474271112809,8.16056546164804,7.30991776998032,6.98408882240516,9.68489701555821,7.23990269165003,9.4102395286199,12.5336793720705
"GTF2B",13.7196654647522,9.77826299541006,16.0599599884729,13.6059426182096,13.343627308911,13.3189179707269,11.7666713855739,11.0507158254446,12.800987367845,11.8892811248692,15.7784390064644
"ZNF281",19.6607705990422,18.6102424751353,23.8390031078895,20.6356796376179,18.3061333328861,20.5049388293516,20.9522664672155,17.9418925480533,20.1458161854609,13.3564690083637,18.0688575719189
"ARHGAP32",4.96112902966486,5.67770109410907,6.27342187049723,5.517965617385,6.67181365445549,8.9825260732809,9.71699314421588,5.83577127860559,5.98078918005872,9.71379564244635,6.36227379292918
"WDPCP",13.1684289059006,13.9419104644234,11.8776787414747,13.0768226275014,12.5165429715818,11.8321550344597,10.9316172872429,14.5273455233373,12.3812828639812,11.2315762115786,10.688619972121
"MYBPC1",1.53121266347681,2.01873816679433,2.42572312325893,8.39033128122925,3.52889317260456,8.36304151650291,5.76946467937818,1.86248019529966,4.09211891267175,3.38970993772867,4.6444598688383
"CASP9",13.2909259189787,14.9512795478205,12.6304893659344,13.2279997677038,13.1782104414451,9.1064229846365,12.7535535017833,13.7823534452175,11.8041891711685,11.939873810507,13.6788886547977
"SLC16A5",11.0859796835721,11.4815733236428,11.292159366895,11.5650512254782,11.7997365458965,12.2038457685265,9.79290715315506,12.9752786939209,11.5418738562537,11.939873810507,10.3068835445453
"ODF2L",11.3922222162675,8.5165516411636,15.1398581141333,10.7335769543654,9.09792771062112,11.0268251106483,9.86882116209425,8.50532622520176,13.0633026827598,10.0679444419105,12.0246974686362
"MAP1S",10.7797371508767,12.0493434330537,7.94633436929649,9.67533697294905,11.248346987677,9.66395908573669,12.6776394928442,12.1061212694478,11.0697062894069,10.0679444419105,9.92514711696952
"HSPB11",14.2096535170648,8.20112380260198,17.7328724872722,12.7744683470968,12.5165429715818,10.2214951868369,12.7535535017833,10.0573930546181,9.12857295903699,7.38653210311024,14.4423615099492
"TMEM54",5.69611110813373,5.67770109410907,5.85519374579741,8.69268556163391,3.6943100400704,9.29226835166989,5.16215260786468,5.77368860542893,3.88226666073987,8.803127300967,7.7619740273736
"FAM65C",10.2897490985642,13.8157393289987,11.6267418666549,15.5712454408399,13.5090441763768,14.0003509831826,19.5858143063101,12.789030674391,10.4926125965942,10.5232786126502,16.0329299581815
"PMS1",13.5971684516741,10.8507176465195,21.9151537342703,12.850056917198,13.0679325298013,17.0358253113948,14.4236616984454,13.1615267134509,10.2827603446624,12.1928372386957,15.6511935306058
"BAG4",17.2108303374793,11.9862578653414,15.2235037390733,16.7050739923573,14.2258506020621,15.6729592864832,15.86602786829,12.602782654861,11.6467999822196,11.9904664961447,18.323348523636
"U2AF1L4",10.4122461116423,6.75015574521856,9.9538293678556,8.84386270183624,10.0904289154162,9.2303198959921,8.12279895649296,5.46327523954566,9.18103602201996,9.61261027117087,8.20733319287864
"EXOSC9",17.3333273505575,13.0587125164509,17.4819356124523,13.5303540481084,15.4940465859669,15.0534747297052,16.7769959755602,13.4719400793342,15.1618252020787,12.0916518674202,15.3967025788886
"CCBL1",10.4122461116423,14.1311671675603,9.78653811797567,12.0185826460851,12.8473767065135,10.7790312879371,9.79290715315506,9.06407028379166,7.86945944744568,7.9430516451254,10.9431109238382
"PCAT19",12.678440853588,7.38101142234179,6.52435874531712,11.489462655377,10.7520963852795,10.5312374652259,11.6148433676955,9.62281434238155,7.97438557341162,6.72882718981961,10.688619972121
